station_global_id,line_id,line_name,operator_name,line_station_code,order_on_line,is_transfer_station,is_terminal,adjacent_prev_station_id,adjacent_next_station_id
ST_P51504_N00114,NOR,Northern line,Transport for London,NOR19,19,False,False,ST_P51507_N00122,ST_P51488_N00105
ST_P51488_N00105,NOR,Northern line,Transport for London,NOR20,20,False,False,ST_P51504_N00114,ST_P51482_N00113
ST_P51482_N00113,NOR,Northern line,Transport for London,NOR21,21,False,False,ST_P51488_N00105,ST_P51472_N00123
ST_P51472_N00123,NOR,Northern line,Transport for London,NOR22,22,False,False,ST_P51482_N00113,ST_P51465_N00130
ST_P51465_N00130,NOR,Northern line,Transport for London,NOR23,23,False,False,ST_P51472_N00123,ST_P51461_N00138
ST_P51461_N00138,NOR,Northern line,Transport for London,NOR24,24,False,False,ST_P51465_N00130,ST_P51455_N00148
ST_P51455_N00148,NOR,Northern line,Transport for London,NOR25,25,False,False,ST_P51461_N00138,ST_P51443_N00153
ST_P51443_N00153,NOR,Northern line,Transport for London,NOR26,26,False,False,ST_P51455_N00148,ST_P51435_N00161
ST_P51435_N00161,NOR,Northern line,Transport for London,NOR27,27,False,False,ST_P51443_N00153,ST_P51427_N00168
ST_P51427_N00168,NOR,Northern line,Transport for London,NOR28,28,False,False,ST_P51435_N00161,ST_P51420_N00188
ST_P51420_N00188,NOR,Northern line,Transport for London,NOR29,29,False,False,ST_P51427_N00168,ST_P51414_N00192
ST_P51414_N00192,NOR,Northern line,Transport for London,NOR30,30,False,False,ST_P51420_N00188,ST_P51402_N00195
ST_P51402_N00195,NOR,Northern line,Transport for London,NOR31,31,False,True,ST_P51414_N00192,
ST_P51473_N00489,PIC,Piccadilly line,Transport for London,PIC01,1,False,True,,ST_P51471_N00452
ST_P51471_N00452,PIC,Piccadilly line,Transport for London,PIC02,2,False,False,ST_P51473_N00489,ST_P51458_N00448
ST_P51458_N00448,PIC,Piccadilly line,Transport for London,PIC03,3,False,False,ST_P51471_N00452,ST_P51466_N00424
ST_P51466_N00424,PIC,Piccadilly line,Transport for London,PIC04,4,False,False,ST_P51458_N00448,ST_P51474_N00386
ST_P51474_N00386,PIC,Piccadilly line,Transport for London,PIC05,5,False,False,ST_P51466_N00424,ST_P51472_N00367
ST_P51472_N00367,PIC,Piccadilly line,Transport for London,PIC06,6,False,False,ST_P51474_N00386,ST_P51472_N00346
ST_P51472_N00346,PIC,Piccadilly line,Transport for London,PIC07,7,False,False,ST_P51472_N00367,ST_P51481_N00352
ST_P51481_N00352,PIC,Piccadilly line,Transport for London,PIC08,8,False,False,ST_P51472_N00346,ST_P51495_N00338
ST_P51495_N00338,PIC,Piccadilly line,Transport for London,PIC09,9,False,False,ST_P51481_N00352,ST_P51499_N00315
ST_P51499_N00315,PIC,Piccadilly line,Transport for London,PIC10,10,False,False,ST_P51495_N00338,ST_P51501_N00306
ST_P51501_N00306,PIC,Piccadilly line,Transport for London,PIC11,11,False,False,ST_P51499_N00315,ST_P51503_N00280
ST_P51503_N00280,PIC,Piccadilly line,Transport for London,PIC12,12,False,False,ST_P51501_N00306,ST_P51494_N00268
ST_P51494_N00268,PIC,Piccadilly line,Transport for London,PIC13,13,True,False,ST_P51503_N00280,ST_P51495_N00254
ST_P51495_N00254,PIC,Piccadilly line,Transport for London,PIC14,14,True,False,ST_P51494_N00268,ST_P51495_N00241
ST_P51495_N00241,PIC,Piccadilly line,Transport for London,PIC15,15,True,False,ST_P51495_N00254,ST_P51494_N00235
ST_P51494_N00235,PIC,Piccadilly line,Transport for London,PIC16,16,True,False,ST_P51495_N00241,ST_P51493_N00224
ST_P51493_N00224,PIC,Piccadilly line,Transport for London,PIC17,17,True,False,ST_P51494_N00235,ST_P51490_N00213
ST_P51490_N00213,PIC,Piccadilly line,Transport for London,PIC18,18,True,False,ST_P51493_N00224,ST_P51490_N00206
ST_P51490_N00206,PIC,Piccadilly line,Transport for London,PIC19,19,True,False,ST_P51490_N00213,ST_P51492_N00194
ST_P51492_N00194,PIC,Piccadilly line,Transport for London,PIC20,20,True,False,ST_P51490_N00206,ST_P51494_N00183
ST_P51494_N00183,PIC,Piccadilly line,Transport for London,PIC21,21,True,False,ST_P51492_N00194,ST_P51494_N00174
ST_P51494_N00174,PIC,Piccadilly line,Transport for London,PIC22,22,True,False,ST_P51494_N00183,ST_P51502_N00161
ST_P51502_N00161,PIC,Piccadilly line,Transport for London,PIC23,23,False,False,ST_P51494_N00174,ST_P51503_N00153
ST_P51503_N00153,PIC,Piccadilly line,Transport for London,PIC24,24,False,False,ST_P51502_N00161,ST_P51507_N00143
ST_P51507_N00143,PIC,Piccadilly line,Transport for London,PIC25,25,False,False,ST_P51503_N00153,ST_P51510_N00135
ST_P51510_N00135,PIC,Piccadilly line,Transport for London,PIC26,26,False,False,ST_P51507_N00143,ST_P51511_N00128
ST_P51511_N00128,PIC,Piccadilly line,Transport for London,PIC27,27,True,False,ST_P51510_N00135,ST_P51513_N00124
ST_P51513_N00124,PIC,Piccadilly line,Transport for London,PIC28,28,False,False,ST_P51511_N00128,ST_P51517_N00120
ST_P51517_N00120,PIC,Piccadilly line,Transport for London,PIC29,29,True,False,ST_P51513_N00124,ST_P51523_N00124
ST_P51523_N00124,PIC,Piccadilly line,Transport for London,PIC30,30,False,False,ST_P51517_N00120,ST_P51531_N00124
ST_P51531_N00124,PIC,Piccadilly line,Transport for London,PIC31,31,True,False,ST_P51523_N00124,ST_P51544_N00119
ST_P51544_N00119,PIC,Piccadilly line,Transport for London,PIC32,32,False,False,ST_P51531_N00124,ST_P51553_N00113
ST_P51553_N00113,PIC,Piccadilly line,Transport for London,PIC33,33,False,False,ST_P51544_N00119,ST_P51558_N00106
ST_P51558_N00106,PIC,Piccadilly line,Transport for London,PIC34,34,False,False,ST_P51553_N00113,ST_P51564_N00101
ST_P51564_N00101,PIC,Piccadilly line,Transport for London,PIC35,35,False,False,ST_P51558_N00106,ST_P51570_N00096
ST_P51570_N00096,PIC,Piccadilly line,Transport for London,PIC36,36,False,False,ST_P51564_N00101,ST_P51590_N00103
ST_P51590_N00103,PIC,Piccadilly line,Transport for London,PIC37,37,False,False,ST_P51570_N00096,ST_P51598_N00110
ST_P51598_N00110,PIC,Piccadilly line,Transport for London,PIC38,38,False,False,ST_P51590_N00103,ST_P51605_N00122
ST_P51605_N00122,PIC,Piccadilly line,Transport for London,PIC39,39,False,False,ST_P51598_N00110,ST_P51616_N00133
ST_P51616_N00133,PIC,Piccadilly line,Transport for London,PIC40,40,False,False,ST_P51605_N00122,ST_P51632_N00128
ST_P51632_N00128,PIC,Piccadilly line,Transport for London,PIC41,41,False,False,ST_P51616_N00133,ST_P51648_N00133
ST_P51648_N00133,PIC,Piccadilly line,Transport for London,PIC42,42,False,False,ST_P51632_N00128,ST_P51652_N00150
ST_P51652_N00150,PIC,Piccadilly line,Transport for London,PIC43,43,False,True,ST_P51648_N00133,
ST_P51463_N00301,DIS,District line,Transport for London,DIS01,1,False,True,,ST_P51478_N00285
ST_P51478_N00285,DIS,District line,Transport for London,DIS02,2,False,False,ST_P51463_N00301,ST_P51492_N00275
ST_P51492_N00275,DIS,District line,Transport for London,DIS03,3,False,False,ST_P51478_N00285,ST_P51494_N00268
ST_P51494_N00268,DIS,District line,Transport for London,DIS04,4,True,False,ST_P51492_N00275,ST_P51495_N00254
ST_P51495_N00254,DIS,District line,Transport for London,DIS05,5,True,False,ST_P51494_N00268,ST_P51495_N00241
ST_P51495_N00241,DIS,District line,Transport for London,DIS06,6,True,False,ST_P51495_N00254,ST_P51494_N00235
ST_P51494_N00235,DIS,District line,Transport for London,DIS07,7,True,False,ST_P51495_N00241,ST_P51493_N00224
ST_P51493_N00224,DIS,District line,Transport for London,DIS08,8,True,False,ST_P51494_N00235,ST_P51490_N00213
ST_P51490_N00213,DIS,District line,Transport for London,DIS09,9,True,False,ST_P51493_N00224,ST_P51490_N00206
ST_P51490_N00206,DIS,District line,Transport for London,DIS10,10,True,False,ST_P51490_N00213,ST_P51492_N00194
ST_P51492_N00194,DIS,District line,Transport for London,DIS11,11,True,False,ST_P51490_N00206,ST_P51487_N00195
ST_P51487_N00195,DIS,District line,Transport for London,DIS12,12,False,False,ST_P51492_N00194,ST_P51480_N00193
ST_P51480_N00193,DIS,District line,Transport for London,DIS13,13,False,False,ST_P51487_N00195,ST_P51475_N00200
ST_P51475_N00200,DIS,District line,Transport for London,DIS14,14,False,False,ST_P51480_N00193,ST_P51468_N00209
ST_P51468_N00209,DIS,District line,Transport for London,DIS15,15,False,False,ST_P51475_N00200,ST_P51461_N00212
ST_P51461_N00212,DIS,District line,Transport for London,DIS16,16,False,False,ST_P51468_N00209,ST_P51445_N00206
ST_P51445_N00206,DIS,District line,Transport for London,DIS17,17,False,False,ST_P51461_N00212,ST_P51435_N00206
ST_P51435_N00206,DIS,District line,Transport for London,DIS18,18,False,False,ST_P51445_N00206,ST_P51421_N00206
ST_P51421_N00206,DIS,District line,Transport for London,DIS19,19,False,False,ST_P51435_N00206,ST_P51494_N00183
ST_P51494_N00183,DIS,District line,Transport for London,DIS20,20,True,False,ST_P51421_N00206,ST_P51494_N00174
ST_P51494_N00174,DIS,District line,Transport for London,DIS21,21,True,False,ST_P51494_N00183,ST_P51492_N00156
ST_P51492_N00156,DIS,District line,Transport for London,DIS22,22,True,False,ST_P51494_N00174,ST_P51496_N00145
ST_P51496_N00145,DIS,District line,Transport for London,DIS23,23,True,False,ST_P51492_N00156,ST_P51499_N00134
ST_P51499_N00134,DIS,District line,Transport for London,DIS24,24,True,False,ST_P51496_N00145,ST_P51501_N00125
ST_P51501_N00125,DIS,District line,Transport for London,DIS25,25,True,False,ST_P51499_N00134,ST_P51507_N00122
ST_P51507_N00122,DIS,District line,Transport for London,DIS26,26,True,False,ST_P51501_N00125,ST_P51511_N00114
ST_P51511_N00114,DIS,District line,Transport for London,DIS27,27,True,False,ST_P51507_N00122,ST_P51512_N00103
ST_P51512_N00103,DIS,District line,Transport for London,DIS28,28,True,False,ST_P51511_N00114,ST_P51512_N00094
ST_P51512_N00094,DIS,District line,Transport for London,DIS29,29,True,False,ST_P51512_N00103,ST_P51511_N00090
ST_P51511_N00090,DIS,District line,Transport for London,DIS30,30,True,False,ST_P51512_N00094,ST_P51510_N00086
ST_P51510_N00086,DIS,District line,Transport for London,DIS31,31,True,False,ST_P51511_N00090,ST_P51510_N00076
ST_P51510_N00076,DIS,District line,Transport for London,DIS32,32,True,False,ST_P51510_N00086,ST_P51515_N00073
ST_P51515_N00073,DIS,District line,Transport for London,DIS33,33,False,False,ST_P51510_N00076,ST_P51520_N00060
ST_P51520_N00060,DIS,District line,Transport for London,DIS34,34,False,False,ST_P51515_N00073,ST_P51522_N00046
ST_P51522_N00046,DIS,District line,Transport for London,DIS35,35,False,False,ST_P51520_N00060,ST_P51525_N00033
ST_P51525_N00033,DIS,District line,Transport for London,DIS36,36,True,False,ST_P51522_N00046,ST_P51527_N00025
ST_P51527_N00025,DIS,District line,Transport for London,DIS37,37,False,False,ST_P51525_N00033,ST_P51522_N00012
ST_P51522_N00012,DIS,District line,Transport for London,DIS38,38,False,False,ST_P51527_N00025,ST_P51529_P00005
ST_P51529_P00005,DIS,District line,Transport for London,DIS39,39,False,False,ST_P51522_N00012,ST_P51532_P00020
ST_P51532_P00020,DIS,District line,Transport for London,DIS40,40,False,False,ST_P51529_P00005,ST_P51535_P00035
ST_P51535_P00035,DIS,District line,Transport for London,DIS41,41,False,False,ST_P51532_P00020,ST_P51540_P00052
ST_P51540_P00052,DIS,District line,Transport for London,DIS42,42,False,False,ST_P51535_P00035,ST_P51540_P00081
ST_P51540_P00081,DIS,District line,Transport for London,DIS43,43,False,False,ST_P51540_P00052,ST_P51538_P00100
ST_P51538_P00100,DIS,District line,Transport for London,DIS44,44,False,False,ST_P51540_P00081,ST_P51540_P00122
ST_P51540_P00122,DIS,District line,Transport for London,DIS45,45,False,False,ST_P51538_P00100,ST_P51542_P00140
ST_P51542_P00140,DIS,District line,Transport for London,DIS46,46,False,False,ST_P51540_P00122,ST_P51544_P00160
ST_P51544_P00160,DIS,District line,Transport for London,DIS47,47,False,False,ST_P51542_P00140,ST_P51549_P00190
ST_P51549_P00190,DIS,District line,Transport for London,DIS48,48,False,False,ST_P51544_P00160,ST_P51554_P00214
ST_P51554_P00214,DIS,District line,Transport for London,DIS49,49,False,False,ST_P51549_P00190,ST_P51557_P00234
ST_P51557_P00234,DIS,District line,Transport for London,DIS50,50,False,False,ST_P51554_P00214,ST_P51559_P00251
ST_P51559_P00251,DIS,District line,Transport for London,DIS51,51,False,True,ST_P51557_P00234,
ST_P51493_N00224,CIR,Circle line,Transport for London,CIR01,1,True,True,,ST_P51490_N00213
ST_P51490_N00213,CIR,Circle line,Transport for London,CIR02,2,True,False,ST_P51493_N00224,ST_P51490_N00206
ST_P51490_N00206,CIR,Circle line,Transport for London,CIR03,3,True,False,ST_P51490_N00213,ST_P51492_N00194
ST_P51492_N00194,CIR,Circle line,Transport for London,CIR04,4,True,False,ST_P51490_N00206,ST_P51501_N00192
ST_P51501_N00192,CIR,Circle line,Transport for London,CIR05,5,False,False,ST_P51492_N00194,ST_P51509_N00196
ST_P51509_N00196,CIR,Circle line,Transport for London,CIR06,6,True,False,ST_P51501_N00192,ST_P51512_N00187
ST_P51512_N00187,CIR,Circle line,Transport for London,CIR07,7,False,False,ST_P51509_N00196,ST_P51515_N00176
ST_P51515_N00176,CIR,Circle line,Transport for London,CIR08,8,False,False,ST_P51512_N00187,ST_P51520_N00169
ST_P51520_N00169,CIR,Circle line,Transport for London,CIR09,9,False,False,ST_P51515_N00176,ST_P51523_N00157
ST_P51523_N00157,CIR,Circle line,Transport for London,CIR10,10,False,False,ST_P51520_N00169,ST_P51524_N00144
ST_P51524_N00144,CIR,Circle line,Transport for London,CIR11,11,False,False,ST_P51523_N00157,ST_P51526_N00136
ST_P51526_N00136,CIR,Circle line,Transport for London,CIR12,12,False,False,ST_P51524_N00144,ST_P51531_N00124
ST_P51531_N00124,CIR,Circle line,Transport for London,CIR13,13,True,False,ST_P51526_N00136,ST_P51520_N00105
ST_P51520_N00105,CIR,Circle line,Transport for London,CIR14,14,False,False,ST_P51531_N00124,ST_P51520_N00098
ST_P51520_N00098,CIR,Circle line,Transport for London,CIR15,15,False,False,ST_P51520_N00105,ST_P51519_N00089
ST_P51519_N00089,CIR,Circle line,Transport for London,CIR16,16,False,False,ST_P51520_N00098,ST_P51518_N00082
ST_P51518_N00082,CIR,Circle line,Transport for London,CIR17,17,True,False,ST_P51519_N00089,ST_P51514_N00075
ST_P51514_N00075,CIR,Circle line,Transport for London,CIR18,18,False,False,ST_P51518_N00082,ST_P51510_N00076
ST_P51510_N00076,CIR,Circle line,Transport for London,CIR19,19,True,False,ST_P51514_N00075,ST_P51510_N00086
ST_P51510_N00086,CIR,Circle line,Transport for London,CIR20,20,True,False,ST_P51510_N00076,ST_P51511_N00090
ST_P51511_N00090,CIR,Circle line,Transport for London,CIR21,21,True,False,ST_P51510_N00086,ST_P51512_N00094
ST_P51512_N00094,CIR,Circle line,Transport for London,CIR22,22,True,False,ST_P51511_N00090,ST_P51512_N00103
ST_P51512_N00103,CIR,Circle line,Transport for London,CIR23,23,True,False,ST_P51512_N00094,ST_P51511_N00114
ST_P51511_N00114,CIR,Circle line,Transport for London,CIR24,24,True,False,ST_P51512_N00103,ST_P51507_N00122
ST_P51507_N00122,CIR,Circle line,Transport for London,CIR25,25,True,False,ST_P51511_N00114,ST_P51501_N00125
ST_P51501_N00125,CIR,Circle line,Transport for London,CIR26,26,True,False,ST_P51507_N00122,ST_P51499_N00134
ST_P51499_N00134,CIR,Circle line,Transport for London,CIR27,27,True,False,ST_P51501_N00125,ST_P51496_N00145
ST_P51496_N00145,CIR,Circle line,Transport for London,CIR28,28,True,False,ST_P51499_N00134,ST_P51492_N00156
ST_P51492_N00156,CIR,Circle line,Transport for London,CIR29,29,True,False,ST_P51496_N00145,ST_P51494_N00174
ST_P51494_N00174,CIR,Circle line,Transport for London,CIR30,30,True,False,ST_P51492_N00156,ST_P51494_N00183
ST_P51494_N00183,CIR,Circle line,Transport for London,CIR31,31,True,True,ST_P51494_N00174,
